,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,ColTime
3914,-0.991937200819521,12.7080206853944,7.05025856742934,-1.337979279077,0,1,0,1,0,1,0,-5.269333148636603
3915,-3.26197306705991,14.2398031610992,5.58171836457686,-1.9712194204055,0,1,0,1,0,1,0,-2.831606825093395
3916,-2.69320057112543,15.327129142554,5.27678571428573,-4.92534342826828,1,0,0,1,0,1,0,-1.0713538641793787
3917,-1.69750870503729,14.7896139681952,17.0850772377615,-0.0466419935915638,1,0,1,0,0,1,0,-366.3024652713751
3919,-0.131635585164073,14.7128361780462,13.3673354842423,-0.212167360470549,0,1,1,0,0,1,0,-63.00373183978892
3920,-0.374247702637447,14.5812005928821,12.4069528902447,-0.960382593997629,0,1,1,0,0,1,0,-12.91876067703423
3921,-4.8,15.3175608612511,10.1939415994334,-3.17913410340304,0,1,0,1,0,1,0,-3.2065151289218976
3922,-0.721455921598789,14.2323021717358,4.7830938074902,-0.0835728591764635,0,1,0,1,0,1,0,-57.23262138717465
3923,-0.283680710711593,13.510846250137,3.85473062494885,-0.928363182541354,0,1,0,1,0,1,0,-4.152179553692222
3924,-1.05117968030061,12.7662941445563,9.91511446425571,-2.03605491835683,0,1,0,1,0,1,0,-4.869767693819165
3925,-2.00518863486249,13.0845974246195,24.4991890095372,-2.18922360949108,0,1,0,1,0,1,0,-11.190811620761037
3926,-0.107061206515255,15.0,13.0929387934847,-1.56053633687074,0,1,0,1,0,1,0,-8.390024944718219
3927,-0.0585771542432383,14.2972173607947,9.73864020655148,-0.0585771542432383,1,0,0,1,0,1,0,-166.2532147962042
3928,-2.11691879110475,15.7978842851747,17.6207100739024,-0.247116640241472,0,1,0,1,0,1,0,-71.30523487485175
3929,-1.47475418245941,14.5833333333333,25.1874669946488,-0.704445489558424,0,1,0,1,0,1,0,-35.755026283775855
3930,-0.467574738797147,14.0822834875938,14.5825658916538,-3.50192634473667,0,1,0,1,0,1,0,-4.164155512171501
3931,-0.618407486428652,13.2222659326141,29.0503386014631,-0.455416764914219,0,1,0,1,0,1,0,-63.78846990170627
3932,-1.06404142920904,12.1101677855145,28.9900559804386,-0.363586952894252,0,1,0,1,0,1,0,-79.73348809595556
3933,-1.2410145492257,17.769619163464,21.5239050734291,-2.05270636231805,0,1,1,0,0,1,0,-10.485623013864926
3935,-1.61732898661828,17.9795574638508,25.7467583256229,-6.79502761546041,0,1,1,0,0,1,0,-3.789058673881251
3936,-2.5578486073819,14.7368421052632,13.2139005214219,-2.3118086175342,0,0,0,1,0,1,0,-5.715828040954355
3937,-1.74600218292866,14.3622935726078,22.2729825561668,-2.74951696929722,0,1,0,1,0,1,0,-8.100689250104828
3938,-3.36152031156031,19.3970359821374,21.6747921575974,-2.91404599952408,0,1,0,1,0,1,0,-7.43804049803514
3940,-1.41310898820925,16.9770151470591,21.3020061636709,-4.5459763487533,0,1,0,1,0,1,0,-4.685903429636808
3941,-0.986576255774452,13.8908706505443,3.66816235851849,-2.0318376414815,0,1,1,0,0,1,0,-1.8053422594552762
3942,-1.79172294204319,11.8652646132798,7.56552098584221,-0.925082503109408,0,1,0,1,0,1,0,-8.178212170712138
3943,-0.584537825872644,17.2142483624822,25.1305460812782,-6.37309893018639,0,1,0,1,0,1,0,-3.9432223407433007
3944,-2.97862629546532,19.5734431414096,12.8429358932689,-6.63118445106696,0,1,0,1,0,1,0,-1.936748402648107
3945,-0.973150364207982,13.8302932213508,18.8358461719958,-2.83730419221222,0,1,0,1,0,1,0,-6.638641786698826
3948,-4.8,20.532569339497,9.62824280530452,-4.22145645445304,0,1,0,1,0,1,0,-2.2807869533151486
3949,-2.85820930287213,13.3582093028721,11.7,-0.646663335108826,0,1,0,1,0,1,0,-18.092876717729826
3950,-4.18059290349646,14.1567738572911,23.0124942004066,-2.25166848429763,0,1,0,1,0,1,0,-10.220196428065634
3951,-0.02537227899969,10.3280289005514,11.355054637543,-0.224428421467231,0,1,0,1,0,1,0,-50.59543957627026
3952,-0.179540800501854,9.99602710061943,19.5608308212656,-0.451682579471381,0,1,0,1,0,1,0,-43.30658677197222
3953,-1.42883564212022,13.1273013026886,6.95772983881636,-3.56957146387222,0,0,0,1,0,1,0,-1.949177908114694
3954,-1.27749640584085,11.6890262659103,3.82629353488116,-1.172662749697,1,0,0,1,0,1,0,-3.2629104453687323
3955,-2.31746569890369,12.9561647154724,21.5878371247168,-2.76182267359918,0,1,1,0,0,1,0,-7.816518175145453
3956,-3.468609228736,11.734304614368,4.59902871896531,-2.63527589540266,1,0,1,0,0,1,0,-1.745179215196592
3957,-0.12191040840947,12.0460437580789,13.7336733038161,-0.32572575960732,0,1,1,0,0,1,0,-42.163301178183715
3958,-0.759595516197422,13.1841247952049,12.8058642535887,-1.72743022373249,0,1,1,0,0,1,0,-7.413245454232493
3959,-1.74644328002873,11.2415814874164,4.99513820738764,-1.74644328002873,1,0,0,1,0,1,0,-2.8601777478312767
3960,-0.134660257323901,12.7771982137762,1.58840661835491,-1.67806630073733,0,1,0,1,0,1,0,-0.94656964248491
3961,-0.1917159224258,12.2458422732621,15.220793017503,-0.471107333487151,1,0,0,1,0,1,0,-32.30854613287002
3962,-1.23048424460441,13.1465977632797,7.55340223672034,-1.54562569564527,0,1,0,1,0,1,0,-4.886954362884692
