,Acc,AbsSpd,S,DeltaV,Type-Car,Type-TW,SLType-Car,SLType-TW,Category-Left,Category-NoLead,Category-Right,AccGapWiden-Widening,ColTime
79,0.934851915168807,12.3017335740784,27.0668985580945,3.31830979499541,1,0,1,0,0,1,0,1,8.15683291503286
80,0.234875551596843,13.2365854892472,29.4563969668932,2.38949840879866,1,0,1,0,0,1,0,1,12.327439456928808
81,0.188019123206089,13.2668604142411,9.58910610982747,0.302776030419796,0,1,0,1,0,1,0,1,31.670624971640816
82,1.96548600048835,12.8870861656309,14.7734354988194,2.35197395582041,0,1,0,1,0,1,0,1,6.2812921300678966
83,2.79739832527738,11.9780531429191,16.6113669045209,5.07776694812463,0,1,0,1,0,1,0,1,3.2713921442684506
85,3.25918670291006,12.2408132970899,16.6350757352954,2.64426243820546,1,0,0,1,0,1,0,1,6.291007842090313
86,1.43817219019399,13.6827647949175,6.5659501603429,1.46765976300982,0,0,1,0,0,1,0,1,4.473754970891688
87,0.038468283173092,12.1166755412946,25.1889169876254,3.00426144381683,0,1,0,0,0,1,0,1,8.384395785349357
88,0.334387944668208,11.72249201085,25.7680160527656,0.632371769696448,0,1,0,1,0,1,0,1,40.748207443122894
89,2.37318168001056,12.4907921509275,8.50346539814809,4.53831698323576,0,1,0,1,0,1,0,1,1.873704597884926
90,0.352198868411913,11.7644766728827,21.8974917218547,0.830268173811499,0,1,0,1,0,1,0,1,26.37399868205261
91,0.492692578180709,15.7169128011459,14.4096053793266,1.84782742806746,0,1,1,0,0,1,0,1,7.798133722041785
92,0.817073046665527,14.1412352066108,18.5607868814236,1.9742247752237,0,1,1,0,0,1,0,1,9.401557063997675
93,1.75891396039825,14.9583082532763,19.2955991260148,0.734812244591183,0,1,1,0,0,1,0,1,26.259223724218174
94,1.18632308789373,10.7501052844654,7.8843932030879,0.196203944904482,0,0,0,1,0,1,0,1,40.18468235654619
95,0.393804429009748,13.5119163536109,9.38272416746943,2.00589291122083,0,0,0,1,0,1,0,1,4.677579802482526
96,0.647359063889056,13.9783418179816,22.1937739217973,2.39655169957507,0,1,1,0,0,1,0,1,9.260711515521427
97,1.90734564761414,13.5720984930538,14.5300135671072,1.21010072225158,0,1,1,0,0,1,0,1,12.0072761712528
98,0.403645913459965,13.724287069506,19.6813200847979,0.901413812364655,0,1,0,1,0,1,0,1,21.833834599414907
99,1.54363720095114,12.2841593159049,12.0277965168561,0.364035775857559,0,1,0,1,0,1,0,1,33.040149662549574
100,0.708228425649132,8.48037300032455,25.6709451735715,3.06139058659405,0,1,1,0,0,1,0,1,8.38538711328949
101,1.20997055782595,11.9914354778027,19.5124015911717,0.699619462790736,1,0,1,0,0,1,0,1,27.890021117105597
102,0.685607059066847,9.63909495766453,8.52470201673138,1.7763816899642,0,1,0,1,0,1,0,1,4.798913468255339
103,2.97874512764865,10.2580990451017,12.3988520012546,1.83139470707408,0,1,0,1,0,1,0,1,6.770169179457537
104,4.8,7.58913869712988,25.7244568056256,2.39220432571601,0,1,0,1,0,1,0,1,10.753453009464824
105,1.0241894773642,10.2654729984325,9.2557527189227,0.999692260481924,0,1,0,1,0,1,0,1,9.25860195662689
106,2.601556704313,10.9698718671156,14.7934065934066,2.21392818226928,0,1,0,1,0,1,0,1,6.681972212054022
107,0.743679467712042,8.14968858495092,16.1122861822662,3.29222389925636,0,1,0,1,0,1,0,1,4.894043259301291
108,4.14538138722426,8.89336805266296,18.085724617852,1.97343843558579,0,1,0,1,0,1,0,1,9.164575033972866
109,3.53814630659826,9.45338013444351,7.67655758254665,2.89084329683237,1,0,0,1,0,1,0,1,2.655473436058678
110,0.998050441442075,11.0190632299185,9.41711367136054,2.15447749943297,0,0,1,0,0,1,0,1,4.3709501138159945
111,0.511169680871035,12.045925607768,12.9164001273818,1.26446948843707,0,0,0,1,0,1,0,1,10.214876867726511
112,0.318240491323678,12.7593159422579,23.0004565588046,0.715622581942654,1,0,0,1,0,1,0,1,32.140484578290916
113,2.21292944348771,10.6614307343769,8.36283532290538,0.857196571599232,1,0,1,0,0,1,0,1,9.756029830244449
114,0.346216692983916,10.8303620710982,10.8861214453853,1.12857628702213,0,1,0,1,0,1,0,1,9.645888869514973
115,1.44929425587458,11.9217496203855,29.8560125607661,0.147088511494822,0,1,0,1,0,1,0,1,202.97990820185254
116,0.684696523747348,5.6368144070695,25.001129388256,2.40402275992708,0,1,0,1,0,1,0,1,10.399705778581875
117,1.7260118124541,8.97012524310026,18.4084612579443,3.37032049092038,0,1,0,1,0,1,0,1,5.461931975768051
118,0.752010618131266,13.9191133266091,6.10874124112831,3.55075424536585,0,1,0,1,0,1,0,1,1.7204066570084182
119,0.734250088273129,7.28115175934552,17.5966349607837,3.89163472104458,1,0,0,1,0,1,0,1,4.521656378906104
120,1.50302278552496,7.79429491880128,24.2503528665827,3.50300828952942,1,0,0,1,0,1,0,1,6.922722089772843
121,1.02490468578344,11.7224398912698,8.36666666666669,3.42781239100526,0,1,0,1,0,1,0,1,2.4408181406372225
122,0.594105783602018,16.7719298245614,20.9865750077104,1.34797851648234,0,1,0,1,0,1,0,1,15.56892394878561
123,4.12978057056549,16.2065439736035,12.4139650643369,1.44261135175304,0,1,0,1,0,1,0,1,8.605204062238686
124,1.25156993475915,13.7208773620617,7.48875212888666,0.953427207807437,1,0,0,1,0,1,0,1,7.854560964447701
125,0.238697106819309,11.9123113364397,3.40833333333335,1.01286461465013,0,1,1,0,0,1,0,1,3.3650433473882173
126,2.11421870799614,11.587673463811,20.8529776756098,3.38477383300992,0,1,1,0,0,1,0,1,6.160818626119615
127,2.01545282712667,10.8945293478212,29.8258885254107,4.82135507907137,0,1,0,1,0,1,0,1,6.186204508122516
128,0.816843779725065,10.5739465916051,7.17045833193173,2.76317840699333,1,0,0,1,0,1,0,1,2.595003751398756
129,0.780203933112517,12.5857935489291,12.0190223040767,3.93322875514764,1,0,0,1,0,1,0,1,3.0557648823111854
131,1.07274091509518,9.41505427802574,22.6245178897787,5.33488899772075,0,1,0,1,0,1,0,1,4.240860100265381
132,4.8,11.25,8.98270227483012,2.36164964325114,0,1,0,0,0,1,0,1,3.803571076048426
133,3.84551783121762,8.04521799053438,20.7140726461713,3.22694217142964,1,0,1,0,0,1,0,1,6.419102526710075
134,0.602213304931496,10.5414687755938,16.6422904421165,0.243412085267881,0,1,0,0,0,1,0,1,68.37084700951166
135,1.44279252453555,11.1732140426523,13.4749161779863,0.562897860053312,0,1,0,1,0,1,0,1,23.93847469363286
136,1.80219972641464,13.8640030721844,4.34465937208383,1.2479886824182,1,0,0,1,0,1,0,1,3.481329144480124
137,0.774756179090076,14.2972173607947,3.49725825310446,0.871674378283217,1,0,0,1,0,1,0,1,4.012115464483872
138,1.52272206148874,14.0538287067645,7.35885025608439,0.0535440042755511,1,0,1,0,0,1,0,1,137.43556081860947
139,4.11029866394065,12.2281052751098,9.55382870676448,1.82572343165464,1,0,1,0,0,1,0,1,5.23290030741727
140,2.74912429358088,12.1192967590507,12.2434210526316,3.04517692515981,1,0,1,0,0,1,0,1,4.020594321293522
141,0.490718961674972,13.8286112277225,21.7792112971215,4.69032240823258,0,1,0,1,0,1,0,1,4.643435866774113
142,0.265768358422065,10.015675480708,6.29595446331584,1.97881327098827,1,0,0,1,0,1,0,1,3.181681948277757
143,0.852495269752822,11.9103448829311,5.22416298952169,0.992309975550924,0,1,0,0,0,1,0,1,5.26464826338289
145,0.905088595357348,14.7035033471621,12.9938441787913,0.0903408316291276,0,1,0,1,0,1,0,1,143.8313544880169
147,1.83930731831418,13.5823109200812,23.1264063693924,6.76565736810755,0,1,0,1,0,1,0,1,3.4182053732734596
148,1.22971212536183,9.57065728925149,21.5401197311039,5.2845066142546,0,1,0,1,0,1,0,1,4.076089085213912
150,0.887541279820354,11.0873490047712,11.8202446856138,5.36949890200444,0,1,0,1,0,1,0,1,2.2013683029530537
151,0.521924145758362,12.931127191025,23.768872808975,5.75952235506519,0,1,0,1,0,1,0,1,4.1268826377714385
152,0.116245265763766,13.4530513367834,26.2208213672422,2.45194855826723,0,1,0,1,0,1,0,1,10.69387091292495
154,0.397663461932723,16.4116869919771,22.45,2.60495142998649,0,1,0,1,0,1,0,1,8.618202912181141
155,2.50604052897205,15.6200433690738,8.82608389804588,2.76137768875429,0,1,0,1,0,1,0,1,3.1962610308579316
156,4.8,12.1173593418083,22.9437656938552,4.29307301871353,0,1,0,1,0,1,0,1,5.344368845776253
157,1.72780937888632,14.3273147287954,9.59717730333219,0.0644821965310598,0,1,0,1,0,1,0,1,148.83452828269301
158,4.8,15.1810885402666,3.23800752742525,1.66020987416215,0,1,0,1,0,1,0,1,1.9503603597463
159,0.29418889740495,14.552457303124,20.4420586558919,0.442648535455703,0,1,0,1,0,1,0,1,46.181240913509335
160,0.662338509935722,14.8466462005289,21.5287720149314,1.08671335903952,0,1,0,1,0,1,0,1,19.810902144388262
161,0.306970573679976,12.8419192548417,6.42255528900849,0.415066511874208,0,1,0,1,0,1,0,1,15.473556900574382
163,0.624268703394193,10.9412290560599,18.7820218451497,1.64672360106422,0,1,0,1,0,1,0,1,11.405691782768846
164,1.67483660626968,16.6021878324368,10.9882753841266,0.819680020505245,0,1,1,0,0,1,0,1,13.40556693983282
165,1.79580356547588,13.8918604142411,19.5260642723008,2.64550871674523,0,1,0,1,0,1,0,1,7.380835356431455
166,0.971868122765073,14.2163289816764,11.2709344396804,4.28120334509998,0,1,0,1,0,1,0,1,2.63265571175928
167,0.46489499918777,13.2327864564189,5.69221498488852,2.1581215858765,0,1,0,1,0,1,0,1,2.637578448841974
168,0.996753639152445,13.2789206102813,27.434304614368,1.67970975465298,0,1,0,1,0,1,0,1,16.332764954404755
169,1.85492428313342,15.3909080422954,18.3526032690794,1.50257035405335,0,1,0,1,0,1,0,1,12.214139071472573
170,0.766371311778222,13.4099879009082,16.219667993048,0.443013425473147,0,1,0,1,0,1,0,1,36.61213647357318
171,1.88324264037618,14.2386402065515,24.9311455008965,3.53413085431757,0,1,0,1,0,1,0,1,7.0543923042460825
172,1.79166775380939,9.85842130887825,11.4246739037458,2.03291926153421,0,1,0,1,0,1,0,1,5.619836517818121
173,2.00473087798009,8.37924755314147,15.793851789968,3.76126680037342,0,1,0,1,0,1,0,1,4.199077765076378
174,1.78402508568962,16.9879022873471,23.3087349453283,1.17005010172676,0,1,0,1,0,1,0,1,19.921142616824074
175,0.987572549229711,13.0535755698356,6.73983013053868,0.937938887028594,0,1,0,1,0,1,0,1,7.185788140089355
176,1.07447400101898,12.0884515522482,22.5038543942605,7.54355255599089,1,0,0,1,0,1,0,1,2.98319050967419
177,2.71639956911387,9.73684210526319,27.7840793803456,3.42608344800404,1,0,1,0,0,1,0,1,8.10957462128717
178,0.637554347060842,12.9317422554863,4.3824619126232,1.49068018094968,0,1,0,1,0,1,0,1,2.9399075459842963
179,3.48992940137468,16.5863759065623,5.71232683121454,1.0098910026346,0,1,0,1,0,1,0,1,5.656379566024692
180,0.0639736853954389,12.7757707960533,11.978083124212,0.215911378096393,0,1,0,1,0,1,0,1,55.476849945649555
181,4.00615439249657,11.2791492178671,6.21369613123733,3.34670978865336,0,1,0,1,0,1,0,1,1.856658187783166
182,0.962357258456933,11.8761695655897,7.67425803120409,4.75956164156779,0,1,0,1,0,1,0,1,1.612387570355367
184,1.06616081038328,11.3808853334535,25.7620023642424,2.1716044385478,0,0,0,1,0,1,0,1,11.863119225097007
185,0.991547356669244,10.9081145922029,28.2329428297353,4.89733613066481,0,1,0,1,0,1,0,1,5.764959168915102
186,0.136056215302887,12.3617225146874,6.52911081032135,1.91900789012293,0,1,0,1,0,1,0,1,3.4023366156681623
187,1.30603610902145,11.3332050170483,10.3907662681869,3.61618194079374,0,1,0,1,0,1,0,1,2.873408041495324
190,0.702345582910354,11.6795373151702,11.6349449146783,0.716168277001273,0,1,0,0,0,1,0,1,16.246104844794207
191,3.16034516249474,10.5655341767216,11.9252075783931,0.888160236984959,0,1,0,0,0,1,0,1,13.426864975261276
192,1.25315662673466,10.5593640030569,17.6406359969431,0.211129946504489,0,1,0,1,0,1,0,1,83.5534526911275
193,1.15389631638815,11.2530976289629,19.8906323821225,0.0692242124408828,1,0,0,1,0,1,0,1,287.33634780040325
194,2.35427490891811,11.5987286675726,17.5506055433532,1.46048185874324,1,0,0,1,0,1,0,1,12.01699660854102
195,1.37865223321904,11.8590330090628,23.6409669909372,1.34534265581087,1,0,0,1,0,1,0,1,17.57245032618714
196,1.44564298908431,10.4019416130801,25.690902175868,2.38975878757469,0,1,0,1,0,1,0,1,10.750416447653738
197,2.03520430717776,9.96912142170711,12.9744856041511,3.31236006934438,0,1,1,0,0,1,0,1,3.916991309075634
198,2.17092703217378,12.8568880062736,5.91669518525792,0.939677128396141,0,1,0,1,0,1,0,1,6.296519311219853
199,0.572969704022285,10.1598521850772,1.97209901727071,0.400158108039157,0,1,0,1,0,1,0,1,4.928299533737631
200,0.715929041216047,8.45814345139785,9.99312011166152,2.07858920917377,0,1,0,1,0,1,0,1,4.807645525896741
201,1.46715108982996,11.0731639460484,6.47115829840371,0.809105463466423,0,1,0,1,0,1,0,1,7.997916947290835
202,0.650492446351656,10.504084580796,12.21803004298,1.93469670964665,0,1,0,1,0,1,0,1,6.315217254497467
203,2.04081647232809,11.4924373170752,13.1369295214506,0.0548731289938758,0,1,0,1,0,1,0,1,239.40551162877495
204,1.68916692795955,10.4500631706793,9.0064486324251,1.16442018506895,0,1,0,1,0,1,0,1,7.734706721776548
205,0.808501061236253,9.16802524334075,17.0946932149136,2.37175114910751,0,1,0,1,0,1,0,1,7.207625142859669
206,2.53906744202092,9.20751969672837,20.430926287002,1.6052179614527,0,1,0,1,0,1,0,1,12.727820630982906
207,0.270064971224784,10.7594980428739,16.3853360896634,1.33804225205263,0,1,0,1,0,1,0,1,12.245753872515907
208,4.15289016830809,10.2982671438967,20.0831970381465,3.23498664550658,0,1,0,1,0,1,0,1,6.208123630445958
